code,name,text_status,WHO_print_page,xyz_status,skin_registered,clinical_reviewer,measured_error,required_landmarks
LU1,中府,旧版部位摘要；尚待逐条核对原标准,26,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU2,云门,旧版部位摘要；尚待逐条核对原标准,26,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU3,天府,旧版部位摘要；尚待逐条核对原标准,27,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU4,侠白,旧版部位摘要；尚待逐条核对原标准,27,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU5,尺泽,文献部位摘要；三维未校准,28,unregistered,False,,,肘前横纹、肱二头肌腱、屈肘姿势
LU6,孔最,旧版部位摘要；尚待逐条核对原标准,28,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU7,列缺,旧版部位摘要；尚待逐条核对原标准,29,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU8,经渠,旧版部位摘要；尚待逐条核对原标准,29,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU9,太渊,旧版部位摘要；尚待逐条核对原标准,30,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU10,鱼际,旧版部位摘要；尚待逐条核对原标准,30,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LU11,少商,旧版部位摘要；尚待逐条核对原标准,31,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI1,商阳,旧版部位摘要；尚待逐条核对原标准,34,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI2,二间,旧版部位摘要；尚待逐条核对原标准,34,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI3,三间,旧版部位摘要；尚待逐条核对原标准,35,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI4,合谷,文献部位摘要；三维未校准,35,unregistered,False,,,第2掌骨、桡侧方位、手部姿势
LI5,阳溪,旧版部位摘要；尚待逐条核对原标准,36,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI6,偏历,旧版部位摘要；尚待逐条核对原标准,36,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI7,温溜,旧版部位摘要；尚待逐条核对原标准,37,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI8,下廉,旧版部位摘要；尚待逐条核对原标准,37,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI9,上廉,旧版部位摘要；尚待逐条核对原标准,38,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI10,手三里,旧版部位摘要；尚待逐条核对原标准,38,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI11,曲池,旧版部位摘要；尚待逐条核对原标准,39,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI12,肘髎,旧版部位摘要；尚待逐条核对原标准,39,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI13,手五里,旧版部位摘要；尚待逐条核对原标准,40,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI14,臂臑,旧版部位摘要；尚待逐条核对原标准,40,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI15,肩髃,旧版部位摘要；尚待逐条核对原标准,41,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI16,巨骨,旧版部位摘要；尚待逐条核对原标准,41,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI17,天鼎,旧版部位摘要；尚待逐条核对原标准,42,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI18,扶突,旧版部位摘要；尚待逐条核对原标准,42,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI19,口禾髎,旧版部位摘要；尚待逐条核对原标准,43,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
LI20,迎香,文献部位摘要；三维未校准,43,unregistered,False,,,鼻翼外缘中点、鼻唇沟
ST1,承泣,旧版部位摘要；尚待逐条核对原标准,46,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST2,四白,旧版部位摘要；尚待逐条核对原标准,46,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST3,巨髎,旧版部位摘要；尚待逐条核对原标准,47,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST4,地仓,旧版部位摘要；尚待逐条核对原标准,47,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
ST5,大迎,旧版部位摘要；尚待逐条核对原标准,48,unregistered,False,,,需按原标准确认体表标志、体位和局部骨度分寸
